                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200608"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                      95                  4.2868793719731323E+007                  9.9998926905534191E-001                  6.9573713993003661E-001                  8.8528103266303604E-001                  3.2583891206408401E-006                                        0                                        0 
                                     100                  6.6271876663166530E+007                  9.9998583842640965E-001                  6.9549895312766219E-001                  8.8582374484619675E-001                  3.2437355336335862E-006                                        0                                        0 
                                     110                  2.6941195707029104E+008                  9.9995486958954283E-001                  7.2133013706710769E-001                  8.9439252950718029E-001                  3.2120851168143366E-006                                        0                                        0 
                                     120                  1.3669717248929996E+009                  9.9977671781661182E-001                  7.7692333546953840E-001                  9.1654360879202756E-001                  3.1259157351454614E-006                                        0                                        0 
                                     130                  2.7065613122074533E+009                  9.9953429976726049E-001                  8.5118965508523503E-001                  9.4583430251116851E-001                  3.0421057126749841E-006                                        0                                        0 
                                     140                  3.9783087981645870E+009                  9.9927344052908240E-001                  9.3461302192347362E-001                  9.7900829280357049E-001                  2.9556274527755076E-006                                        0                                        0 
                                     147                  4.8226059363143053E+009                  9.9908004702931830E-001                  9.9858064772600774E-001                  1.0048714669565020E+000                  2.8851273268833541E-006                                        0                                        0 
                                     150                  5.1709836808317823E+009                  9.9899477584844576E-001                  1.0272516157886167E+000                  1.0165914438084038E+000                  2.8485790049090059E-006                                        0                                        0 
                                     160                  6.2706306990361977E+009                  9.9870126110101975E-001                  1.1274154573389206E+000                  1.0583549923456022E+000                  2.7240483350301736E-006                                        0                                        0 
                                     170                  7.2560326214627581E+009                  9.9840130529115800E-001                  1.2287425824793630E+000                  1.1029311497292176E+000                  2.5789607828844490E-006                                        0                                        0 
                                     180                  7.9773484269142942E+009                  9.9815523084750957E-001                  1.3121575836145181E+000                  1.1416499588727498E+000                  2.4451032846375602E-006                                        0                                        0 
                                     190                  8.3798348548433657E+009                  9.9800561912495311E-001                  1.3708226101231822E+000                  1.1680295883544660E+000                  2.3606960964817546E-006                                        0                                        0 
                                     200                  8.7024602733196220E+009                  9.9787779977704683E-001                  1.4250825014882422E+000                  1.1922311930228828E+000                  2.2866126107184602E-006                                        0                                        0 
                                     210                  8.9810127402832317E+009                  9.9776089484232122E-001                  1.4769144956733860E+000                  1.2155527442208971E+000                  2.2164620950415327E-006                                        0                                        0 
                                     220                  9.2226424783039207E+009                  9.9765392478518578E-001                  1.5260351958808942E+000                  1.2379486963750244E+000                  2.1496066687222813E-006                                        0                                        0 
                                     230                  9.4319945007626095E+009                  9.9755657106948048E-001                  1.5720041665908127E+000                  1.2592329803443130E+000                  2.0862206597604129E-006                                        0                                        0 
                                     240                  9.6131177886773357E+009                  9.9746847327513066E-001                  1.6146147668986228E+000                  1.2792930279037402E+000                  2.0268621994247127E-006                                        0                                        0 
                                     250                  9.7701360705739536E+009                  9.9738891078062930E-001                  1.6539260725272962E+000                  1.2981163442178028E+000                  1.9712214923443984E-006                                        0                                        0 
                                     260                  9.9068690644405384E+009                  9.9731700465817819E-001                  1.6900609472321417E+000                  1.3158138980682168E+000                  1.9190849217046114E-006                                        0                                        0 
                                     270                  1.0076180211971943E+010                  9.9722437599413016E-001                  1.7372232886664420E+000                  1.3395017628340786E+000                  1.8493266423599556E-006                                        0                                        0 
                                     280                  1.0947489644420368E+010                  9.9667537853957977E-001                  2.0216017111371074E+000                  1.5112405287919590E+000                  1.3594181266037174E-006                                        0                                        0 
                                     290                  1.1510776822714201E+010                  9.9621871856071054E-001                  2.1278475516989266E+000                  1.7832634410106003E+000                  6.9862094382397271E-007                                        0                                        0 
                                     300                  1.1739147716074385E+010                  9.9598612719218582E-001                  2.4430454971579745E+000                  2.1290375428867385E+000                  3.7719855110334226E-007                                        1                                        0 
                                     310                  1.1862842894571650E+010                  9.9580277906244297E-001                  3.0946060965316664E+000                  2.4651872853208046E+000                  2.6770338323735715E-007                                        4                                        0 
                                     320                  1.1954739969186907E+010                  9.9560317860141911E-001                  3.9366872907157506E+000                  2.8134683270037311E+000                  2.0375759936770724E-007                                        6                                        0 
                                     330                  1.2025101680328011E+010                  9.9538433766540368E-001                  4.9209044751270561E+000                  3.1716062915373904E+000                  1.6056983633628050E-007                                        9                                        0 
                                     340                  1.2076826036101393E+010                  9.9516116676987054E-001                  5.9869608541490367E+000                  3.5265450120417192E+000                  1.3045480803414036E-007                                       11                                        0 
                                     350                  1.2114496785691231E+010                  9.9494521443102646E-001                  7.1031272401534924E+000                  3.8735986653937582E+000                  1.0875034828642879E-007                                       13                                        0 
